9,Early Delivery,St Helens,63 North Fabien Way,0,9,78553,OK-TA,Contoso
231,Early Delivery,Eastbourne,499 White Cowley Drive,0,231,78567,AR-SY,Contoso
341,Early Delivery,Middlesbrough,86 Nobel Drive,0,341,50310,IL-CG,Contoso
352,Pending,Blackburn,417 Rocky Milton St.,0,352,59182,NE-ZH,Contoso
364,Early Delivery,Portsmouth,550 Nobel Road,0,364,78221,AZ-FM,Contoso
426,Early Delivery,Blackpool,71 Green Nobel Freeway,0,426,93761,TX-EV,Contoso
457,Pending,Walsall,602 Cowley Freeway,0,457,17835,KY-YQ,Contoso
601,Early Delivery,West Bromwich,79 Green Cowley St.,0,601,75722,IA-HW,Contoso
641,Early Delivery,Reading,501 Old Street,0,641,71806,NH-JX,Contoso
660,Delayed,Southampton,279 White First Blvd.,0,660,54346,IL-EK,Contoso
788,Pending,Reading,34 Second Blvd.,0,788,56879,CT-UU,Contoso
907,Pending,Kingston upon Hull,595 Green Hague Parkway,0,907,81079,NE-GA,Contoso
