34,Early Delivery,Bradford,702 Clarendon Way,0,34,11880,GA-OG,Contoso
86,Early Delivery,Walsall,966 West Rocky Second Street,0,86,72717,ME-WS,Contoso
170,Delayed,Oxford,53 White Old Street,0,170,76107,TX-FM,Contoso
236,Early Delivery,Bristol,866 South Rocky Nobel Street,0,236,79175,AK-YS,Contoso
587,Pending,Oldham,84 Milton Road,0,587,37989,NC-KP,Contoso
605,Delayed,Liverpool,230 South Milton Parkway,0,605,13368,TN-PB,Contoso
642,Pending,Brighton,953 Clarendon St.,0,642,45940,RI-DY,Contoso
696,Early Delivery,West Bromwich,294 North Second Boulevard,0,696,85934,AK-GT,Contoso
819,Early Delivery,Gloucester,78 South Old St.,0,819,10783,TN-MU,Contoso
928,Pending,Norwich,18 Clarendon Drive,0,928,14707,KY-QT,Contoso
