52,Pending,Newcastle upon Tyne,312 White Milton Drive,0,52,41697,FL-ZJ,Contoso
134,Early Delivery,West Bromwich,45 Milton Drive,0,134,93716,ND-FB,Contoso
137,Pending,Stoke-on-Trent,245 South Cowley Way,0,137,35746,NH-MQ,Contoso
187,Pending,Portsmouth,76 East Rocky Milton Parkway,0,187,14852,NULL,Contoso
226,Early Delivery,Newcastle upon Tyne,36 Rocky Fabien Freeway,0,226,53159,HI-NM,Contoso
431,Early Delivery,Slough,778 North White Oak Blvd.,0,431,8309,IA-XB,Contoso
456,Early Delivery,Cambridge,590 West White Fabien Road,0,456,77611,CT-SW,Contoso
708,Pending,Bolton,372 East Green Clarendon Road,0,708,60685,TX-LX,Contoso
823,Pending,Colchester,80 White Milton Way,0,823,86498,OR-KA,Contoso
841,Early Delivery,Coventry,56 Milton Way,0,841,63170,MI-QR,Contoso
963,Pending,Newcastle upon Tyne,864 Nobel Blvd.,0,963,98921,MA-AB,Contoso
