68,Pending,Stoke-on-Trent,17 Old Parkway,0,68,38857,VA-EG,Contoso
192,Pending,Stoke-on-Trent,93 South Old Road,0,192,84334,KS-WJ,Contoso
372,Pending,Northampton,97 North White Clarendon Street,0,372,68075,NM-NL,Contoso
520,Delayed,Exeter,42 Green First Street,0,520,73022,MT-LN,Contoso
538,Pending,Stockport,831 White Oak Freeway,0,538,99485,IN-NE,Contoso
593,Pending,Blackpool,62 Nobel Boulevard,0,593,62102,KS-JH,Contoso
608,Pending,Bradford,40 Rocky Fabien Road,0,608,51340,ND-BZ,Contoso
704,Early Delivery,Norwich,480 Green Oak Street,0,704,6555,WI-EE,Contoso
796,Early Delivery,Stoke-on-Trent,935 Nobel Way,0,796,14972,IA-KK,Contoso
845,Delayed,Eastbourne,50 Cowley Way,0,845,83799,WV-HJ,Contoso
859,Early Delivery,Stoke-on-Trent,36 Green Hague Way,0,859,22820,WA-QY,Contoso
945,Delayed,Norwich,19 Second Parkway,0,945,86378,MI-WL,Contoso
