SET IDENTITY_INSERT [dbo].[RainChecks] ON 
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (1, N'John Smith1923929452', 18, 3, 33.94, 1)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (2, N'John Smith499784169', 10, 6, 7.57, 7)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (3, N'John Smith780788206', 10, 2, 86.96, 6)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (4, N'John Smith1271152617', 11, 4, 76.92, 6)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (5, N'John Smith1578304330', 4, 4, 64.17, 6)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (6, N'John Smith748137689', 16, 6, 63.78, 5)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (7, N'John Smith981461372', 14, 6, 18.64, 4)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (8, N'John Smith1189047758', 1, 8, 29.79, 4)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (9, N'John Smith1485935190', 2, 7, 45.04, 4)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (10, N'John Smith864669318', 7, 3, 43.33, 3)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (11, N'John Smith1291782048', 8, 3, 12.06, 3)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (12, N'John Smith1733162298', 13, 8, 78.01, 3)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (13, N'John Smith837323578', 1, 4, 70.77, 3)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (14, N'John Smith590189227', 3, 8, 55.28, 2)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (15, N'John Smith792567871', 4, 9, 99.79, 2)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (16, N'John Smith279208804', 1, 4, 21.01, 2)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (17, N'John Smith104511004', 1, 8, 85.55, 2)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (18, N'John Smith141234231', 4, 2, 97.28, 19)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (19, N'John Smith1112085928', 12, 8, 42.37, 19)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (20, N'John Smith1594972865', 6, 2, 12.78, 19)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (21, N'John Smith27667678', 17, 9, 24.15, 7)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (22, N'John Smith1855079360', 18, 9, 80.51, 8)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (23, N'John Smith1545382100', 14, 4, 61.51, 9)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (24, N'John Smith2021145104', 6, 1, 69.07, 9)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (25, N'John Smith1735149371', 6, 5, 31.26, 1)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (26, N'John Smith2034237595', 4, 5, 68.92, 18)
INSERT [dbo].[RainChecks] ([RaincheckId], [Name], [ProductId], [Quantity], [SalePrice], [StoreId]) VALUES (27, N'John Smith160023322', 15, 1, 77.92, 18)
