Id,Email,EmailState,SentOn,Title,ActivityTypeDisplay,CustomerId
1,Ryan.Ward3@yahoo.com,Opened,1/28/2019,Information about new product was sent,Weblink,2
2,Ryan.Ward3@yahoo.com,Unopened,7/23/2019,Info about new big sale announcement was sent,Weblink,2
3,Ryan.Ward3@yahoo.com,Opened,9/29/2019,Sent a BOGO promotion,Weblink,2
4,Ryan.Ward3@yahoo.com,Unopened,8/31/2019,Information about new product was sent,Weblink,2
5,Todd_Reynolds@hotmail.com,Unopened,7/28/2019,Sent seasonal product coupons,Weblink,3
6,Todd_Reynolds@hotmail.com,Opened,1/24/2019,Info about new big sale announcement was sent,Weblink,3
7,Todd_Reynolds@hotmail.com,Unopened,3/5/2019,Information about new product was sent,Weblink,3
8,Todd_Reynolds@hotmail.com,Unopened,2/6/2019,Promotional offer was sent,Weblink,3
9,Jermaine_Johns@hotmail.com,Unopened,3/25/2019,Sent seasonal product coupons,Weblink,4
10,Jermaine_Johns@hotmail.com,Unopened,10/23/2019,Sent a BOGO promotion,Weblink,4
11,Jermaine_Johns@hotmail.com,Unopened,2/15/2019,Info about new big sale announcement was sent,Weblink,4
12,Jermaine_Johns@hotmail.com,Unopened,7/29/2019,Sent a product advertisement,Weblink,4
13,Jermaine_Johns@hotmail.com,Opened,11/11/2019,Sent seasonal product coupons,Weblink,4
14,Omar85@yahoo.com,Opened,9/2/2019,Sent a BOGO promotion,Weblink,5
15,Omar85@yahoo.com,Unopened,7/10/2019,Information about new product was sent,Weblink,5
16,Omar85@yahoo.com,Unopened,4/21/2019,Sent seasonal product coupons,Weblink,5
17,Omar85@yahoo.com,Unopened,10/6/2019,Information about new product was sent,Weblink,5
